split,filename,niqe,brisque,piqe
val,0_1_part_006.mp4_frame_000132.jpg,3.6131,37.2224,27.1267
val,0_1_part_006.mp4_frame_000138.jpg,3.6447,38.0939,21.4047
val,0_1_part_006.mp4_frame_000143.jpg,4.0904,38.5041,25.3877
val,0_1_part_006.mp4_frame_000166.jpg,3.4629,20.2629,28.9042
val,0_1_part_006.mp4_frame_000167.jpg,3.6464,21.7302,28.1989
val,0_1_part_006.mp4_frame_000176.jpg,3.9576,29.3537,30.6237
val,0_1_part_006.mp4_frame_000180_negative.jpg,4.08,31.0793,31.564
val,0_1_part_006.mp4_frame_000196_negative.jpg,4.0118,28.8278,33.5008
val,0_1_part_006.mp4_frame_000206_negative.jpg,4.2612,31.9338,40.9945
val,0_1_part_006.mp4_frame_000212_negative.jpg,4.7634,37.924,47.3548
val,0_1_part_006.mp4_frame_000213_negative.jpg,4.7486,39.5456,47.014
val,0_1_part_006.mp4_frame_000223_negative.jpg,5.822,52.5817,53.2526
val,0_1_part_006.mp4_frame_000226_negative.jpg,6.191,55.7141,54.6899
val,0_1_part_006.mp4_frame_000238_negative.jpg,6.9962,62.4318,58.9258
val,0_1_part_006.mp4_frame_000239_negative.jpg,7.1886,62.8986,60.6513
val,0_1_part_006.mp4_frame_000251_negative.jpg,7.988,67.6193,64.516
val,0_1_part_006.mp4_frame_000253_negative.jpg,8.1798,69.3141,59.0856
val,0_1_part_006.mp4_frame_000255_negative.jpg,8.0463,67.5495,64.5679
val,0_1_part_006.mp4_frame_000256_negative.jpg,8.0179,67.1808,62.4361
val,0_1_part_006.mp4_frame_000261_negative.jpg,7.8165,68.6755,55.9596
val,0_1_part_006.mp4_frame_000262_negative.jpg,7.7202,67.7614,63.9407
val,0_1_part_006.mp4_frame_000273.jpg,3.9835,38.0202,18.1651
val,0_1_part_006.mp4_frame_000281.jpg,4.0834,42.2346,20.7658
val,0_1_part_006.mp4_frame_000282.jpg,4.1236,42.924,20.3294
val,0_1_part_006.mp4_frame_000285.jpg,4.1142,43.3698,21.1973
val,0_1_part_006.mp4_frame_000294.jpg,4.1774,44.4099,24.0227
val,0_1_part_006.mp4_frame_000296.jpg,4.1961,45.8132,24.6706
val,0_1_part_006.mp4_frame_000300.jpg,4.2453,46.4118,26.1238
val,0_1_part_006.mp4_frame_000308.jpg,4.3948,47.3351,26.0714
val,0_1_part_006.mp4_frame_000313.jpg,4.5252,47.6242,28.832
val,0_1_part_006.mp4_frame_000323.jpg,4.3649,44.05,25.0705
val,0_1_part_006.mp4_frame_000327.jpg,4.4211,43.6057,28.0483
val,0_1_part_006.mp4_frame_000328.jpg,4.4895,43.9162,27.8521
val,0_1_part_006.mp4_frame_000356.jpg,4.1407,41.9797,26.8665
val,0_1_part_006.mp4_frame_000362.jpg,4.1602,42.9826,26.9645
val,0_1_part_006.mp4_frame_000363.jpg,4.2052,43.279,26.3883
